TransactionId,FraudResult
TransactionId_50600,4.585603794534278e-06
TransactionId_95109,-1.409601102055974e-06
TransactionId_47357,2.813524692436591e-06
TransactionId_28185,-1.409601102055974e-06
TransactionId_22140,2.813524692436591e-06
TransactionId_134338,5.281255724604909e-06
TransactionId_109096,2.813524692436591e-06
TransactionId_14249,5.973924375444627e-05
TransactionId_69896,2.813524692436591e-06
TransactionId_91468,-0.0029418664679022612
TransactionId_18862,-0.00016258343242748507
TransactionId_29342,4.585603794534278e-06
TransactionId_116873,2.813524692436591e-06
TransactionId_81197,2.3210386457108429e-07
TransactionId_83120,5.281255724604909e-06
TransactionId_40882,2.3210386457108429e-07
TransactionId_89297,2.813524692436591e-06
TransactionId_112716,2.813524692436591e-06
TransactionId_61794,-1.409601102055974e-06
TransactionId_124957,2.813524692436591e-06
TransactionId_105927,5.794106382944123e-06
TransactionId_23455,5.844919418474692e-07
TransactionId_44325,2.813524692436591e-06
TransactionId_121440,-0.0016936141785777498
TransactionId_72401,2.813524692436591e-06
TransactionId_122323,2.3210386457108429e-07
TransactionId_100360,-0.00010433118527914159
TransactionId_121720,-9.704627864694381e-05
TransactionId_121119,2.813524692436591e-06
TransactionId_39420,5.281255724604909e-06
TransactionId_129168,2.813524692436591e-06
TransactionId_80103,3.5091766225072494e-06
TransactionId_70335,2.813524692436591e-06
TransactionId_62038,0.00012503010644505976
TransactionId_119958,4.0076189449696084e-06
TransactionId_70526,5.281255724604909e-06
TransactionId_40395,2.813524692436591e-06
TransactionId_78595,2.813524692436591e-06
TransactionId_102888,-1.409601102055974e-06
TransactionId_132575,-7.139491719853307e-07
TransactionId_991,2.813524692436591e-06
TransactionId_132027,0.00012503010644505976
TransactionId_2972,3.5091766225072494e-06
TransactionId_138822,5.281255724604909e-06
TransactionId_109088,2.813524692436591e-06
TransactionId_129468,-7.139491719853307e-07
TransactionId_88563,5.844919418474692e-07
TransactionId_81355,2.813524692436591e-06
TransactionId_76124,3.3119670148989753e-06
TransactionId_44532,2.813524692436591e-06
TransactionId_81705,5.973924375444627e-05
TransactionId_103079,2.813524692436591e-06
TransactionId_58855,5.281255724604909e-06
TransactionId_135949,0.0005104537416625198
TransactionId_138525,-3.138158042476985e-05
TransactionId_35887,4.6172158020531914e-07
TransactionId_129735,5.281255724604909e-06
TransactionId_57922,5.3520572247817026e-05
TransactionId_8566,3.8872276482949345e-05
TransactionId_78701,2.813524692436591e-06
TransactionId_71141,-1.409601102055974e-06
TransactionId_9127,-0.00010433118527914159
TransactionId_92018,-1.409601102055974e-06
TransactionId_96624,2.813524692436591e-06
TransactionId_35664,-0.00010433118527914159
TransactionId_102953,-9.653485517473126e-05
TransactionId_99746,2.8694217022843695e-06
TransactionId_131385,8.178278337278635e-08
TransactionId_6271,-1.409601102055974e-06
TransactionId_21834,2.813524692436591e-06
TransactionId_59315,5.281255724604909e-06
TransactionId_25732,2.813524692436591e-06
TransactionId_133382,1.562667733072481e-05
TransactionId_55046,9.782142911037471e-06
TransactionId_82222,5.844919418474692e-07
TransactionId_135142,3.3119670148989753e-06
TransactionId_66270,2.813524692436591e-06
TransactionId_64712,2.813524692436591e-06
TransactionId_98932,-3.138158042476985e-05
TransactionId_122147,4.6172158020531914e-07
TransactionId_45920,3.3119670148989753e-06
TransactionId_115838,2.813524692436591e-06
TransactionId_71045,-2.639864974937387e-05
TransactionId_68387,5.281255724604909e-06
TransactionId_82700,2.813524692436591e-06
TransactionId_33027,2.813524692436591e-06
TransactionId_9378,-1.409601102055974e-06
